seq_name	batch	sample.x	batch_number	read	lane	plate	sample_name	well	sample.y	number	genotype	experiment	barcode	X	Y	X_Y	well_no	dh_genotype
18048-85-01-03/BG-P12-well-62_S63_L006_R2_001	18048-85-01-03	63	62	2	6	12	BG-P12-well-62_S63_L006	F2	BG_WD_0718_808	808	511EB00298	WD_0718	ILLSINHA11	60	18	60_18	62	EB.09S.H.00416
18048-85-01-03/BG-P12-well-63_S64_L006_R1_001	18048-85-01-03	64	63	1	6	12	BG-P12-well-63_S64_L006	F3	BG_WD_0718_940	940	9A277-H3	WD_0718	ILLSINHA19	59	11	59_11	63	
18048-85-01-03/BG-P12-well-63_S64_L006_R2_001	18048-85-01-03	64	63	2	6	12	BG-P12-well-63_S64_L006	F3	BG_WD_0718_940	940	9A277-H3	WD_0718	ILLSINHA19	59	11	59_11	63	
18048-85-01-03/BG-P12-well-64_S65_L006_R1_001	18048-85-01-03	65	64	1	6	12	BG-P12-well-64_S65_L006	F4	BG_WD_0718_786	786	511EB00202	WD_0718	ILLSINHA27	57	19	57_19	64	EB.09S.H.00278
18048-85-01-03/BG-P12-well-64_S65_L006_R2_001	18048-85-01-03	65	64	2	6	12	BG-P12-well-64_S65_L006	F4	BG_WD_0718_786	786	511EB00202	WD_0718	ILLSINHA27	57	19	57_19	64	EB.09S.H.00278
18048-85-01-03/BG-P12-well-65_S66_L006_R1_001	18048-85-01-03	66	65	1	6	12	BG-P12-well-65_S66_L006	F5	BG_WD_0718_724	724	9LG30315	WD_0718	ILLSINHA35	68	22	68_22	65	
18048-85-01-03/BG-P12-well-65_S66_L006_R2_001	18048-85-01-03	66	65	2	6	12	BG-P12-well-65_S66_L006	F5	BG_WD_0718_724	724	9LG30315	WD_0718	ILLSINHA35	68	22	68_22	65	
18048-85-01-03/BG-P12-well-66_S67_L006_R1_001	18048-85-01-03	67	66	1	6	12	BG-P12-well-66_S67_L006	F6	BG_WD_0718_949	949	511EB00129	WD_0718	ILLSINHA43	68	11	68_11	66	EB.09S.H.00172
18048-85-01-03/BG-P12-well-66_S67_L006_R2_001	18048-85-01-03	67	66	2	6	12	BG-P12-well-66_S67_L006	F6	BG_WD_0718_949	949	511EB00129	WD_0718	ILLSINHA43	68	11	68_11	66	EB.09S.H.00172
18048-85-01-03/BG-P12-well-67_S68_L006_R1_001	18048-85-01-03	68	67	1	6	12	BG-P12-well-67_S68_L006	F7	BG_WD_0718_812	812	511EB00016	WD_0718	ILLSINHA51	56	18	56_18	67	EB.09S.H.00020
18048-85-01-03/BG-P12-well-67_S68_L006_R2_001	18048-85-01-03	68	67	2	6	12	BG-P12-well-67_S68_L006	F7	BG_WD_0718_812	812	511EB00016	WD_0718	ILLSINHA51	56	18	56_18	67	EB.09S.H.00020
18048-85-01-03/BG-P12-well-68_S69_L006_R1_001	18048-85-01-03	69	68	1	6	12	BG-P12-well-68_S69_L006	F8	BG_WD_0718_931	931	511EB00142	WD_0718	ILLSINHA59	51	12	51_12	68	EB.09S.H.00194
18048-85-01-03/BG-P12-well-68_S69_L006_R2_001	18048-85-01-03	69	68	2	6	12	BG-P12-well-68_S69_L006	F8	BG_WD_0718_931	931	511EB00142	WD_0718	ILLSINHA59	51	12	51_12	68	EB.09S.H.00194
18048-85-01-03/BG-P12-well-69_S70_L006_R1_001	18048-85-01-03	70	69	1	6	12	BG-P12-well-69_S70_L006	F9	BG_WD_0718_734	734	511EB00384	WD_0718	ILLSINHA67	58	22	58_22	69	EB.10H.H.00023
18048-85-01-03/BG-P12-well-69_S70_L006_R2_001	18048-85-01-03	70	69	2	6	12	BG-P12-well-69_S70_L006	F9	BG_WD_0718_734	734	511EB00384	WD_0718	ILLSINHA67	58	22	58_22	69	EB.10H.H.00023
18048-85-01-03/BG-P12-well-7_S8_L006_R1_001	18048-85-01-03	8	7	1	6	12	BG-P12-well-7_S8_L006	A7	BG_WD_0718_831	831	511EB00166	WD_0718	ILLSINHA56	64	17	64_17	7	EB.09S.H.00226
18048-85-01-03/BG-P12-well-7_S8_L006_R2_001	18048-85-01-03	8	7	2	6	12	BG-P12-well-7_S8_L006	A7	BG_WD_0718_831	831	511EB00166	WD_0718	ILLSINHA56	64	17	64_17	7	EB.09S.H.00226
